Temperature,Appliances,Time_of_Day,Previous_Usage,Electricity_Consumption
20,3,6,3.2,4.1
21,4,7,3.5,4.6
22,4,8,3.8,5.0
23,5,9,4.2,5.5
24,5,10,4.5,5.8
25,6,11,4.8,6.3
26,6,12,5.2,6.8
27,7,13,5.5,7.2
28,7,14,5.8,7.6
29,8,15,6.2,8.1
30,8,16,6.5,8.5
31,9,17,6.8,9.0
32,9,18,7.2,9.6
31,10,19,7.8,10.2
30,10,20,8.2,10.5
29,9,21,8.5,10.0
28,8,22,8.0,9.2
27,7,23,7.5,8.5
26,5,0,6.8,7.2
25,4,1,6.2,6.5
24,3,2,5.5,5.8
23,3,3,5.0,5.2
22,2,4,4.5,4.7
21,2,5,4.0,4.3
20,3,6,3.8,4.5
22,4,8,4.2,5.2
25,6,12,5.5,6.9
28,8,16,6.8,8.8
31,9,19,8.0,10.0
27,6,21,7.2,8.2
