Area_sqft,Bedrooms,Bathrooms,Age_Years,Distance_City_km,Price_Lakh
800,2,1,15,12,35
950,2,2,12,10,42
1100,2,2,10,8,50
1200,3,2,8,7,58
1350,3,2,6,6,68
1500,3,2,5,5,75
1600,3,3,4,5,85
1750,3,3,3,4,95
1900,4,3,5,4,105
2100,4,3,3,3,120
750,1,1,18,15,30
900,2,1,14,13,38
1050,2,2,11,11,47
1250,3,2,9,9,60
1400,3,2,7,8,70
1550,3,3,6,7,80
1700,3,3,5,6,90
1850,4,3,4,5,102
2000,4,3,3,4,115
2200,4,4,2,3,135
850,2,1,16,14,34
1000,2,2,13,12,45
1150,2,2,9,10,53
1300,3,2,8,8,63
1450,3,2,6,7,72
1650,3,3,5,6,87
1800,4,3,4,5,98
1950,4,3,3,4,110
2150,4,4,2,3,128
2300,4,4,1,2,145
