Income,Credit_Score,Loan_Amount,Employment,Previous_Payment,Default
25000,580,200000,0,0,Yes
30000,600,150000,0,1,Yes
28000,590,180000,0,0,Yes
35000,620,120000,1,1,No
40000,650,100000,1,1,No
45000,700,150000,1,1,No
50000,720,200000,1,1,No
22000,560,180000,0,0,Yes
27000,570,160000,0,0,Yes
32000,610,140000,1,0,Yes
38000,640,100000,1,1,No
42000,680,120000,1,1,No
48000,710,180000,1,1,No
55000,750,200000,1,1,No
24000,550,190000,0,0,Yes
29000,580,170000,0,0,Yes
33000,600,150000,0,1,Yes
36000,630,110000,1,1,No
46000,690,130000,1,1,No
52000,730,160000,1,1,No
